Authors	Title	Year	Abstract	Author Keywords	Page start	Page end	Page count	Source	!	D	I1	I2	I3a	I3b	I3c	I3d	I3e
Sim G.; Read J.C.; Gregory P.; Xu D.	From England to Uganda: Children designing and evaluating serious games	2015	The participation of end-users in the design and evaluation of technologies has long been an important principle in human-computer interaction. This article reports a study to ascertain to what extent children using participatory methods could effectively design for a surrogate population. Fifty children, from a UK primary school, participated in a design activity to specify a serious game for children in Uganda. The childrens designs were analyzed and were shown to have effectively incorporated learning and gaming aspects. Based on these designs a serious game was developed. This new serious game and the commercial game Angry Birds were both evaluated for fun with 25 children in Uganda, using the Fun Toolkit and the This or That method. The results suggested that the children found both games fun, thus confirming that the children in the United Kingdom could effectively design a fun game for a surrogate population. Despite the positive results, the reliability of the evaluation methods is questioned. Inconsistencies were noted within the individual evaluation tools and the comparative results for some constructs yielded a low reliability score. We conclude that further research is required to establish suitable evaluation methods for evaluating fun with children in developing countries. © 2015 Taylor & Francis Group, LLC.		263	293	30	Scopus			X	?	O	O	O		
Steinberger F.; Schroeter R.; Lindner V.; Fitz-Walter Z.; Hall J.; Johnson D.	Zombies on the Road: A Holistic Design Approach to Balancing Gamification and Safe Driving	2015	 Error 	augmented reality; design approach; driving games; gamification; Road safety; serious games	320	327	7	Scopus			X						
Szymanski A.; Benus M.	Gaming the classroom viewing learning through the lens self determination theory	2015	Educators, designers and curriculum creators are interested in developing educational experiences that replicate the fun aspect of video games to increase student intrinsic motivation. This aspect, which compels players to engage with the game and persist despite failing, has the potential to increase student academic success. Researchers used mixed-methods to investigate the results of an instructional design that attempted to replicate the fun aspect of video games in a remedial algebra class. The study offered insight on the ways in which student motivation might be better developed and refined in educational settings using game-based approaches. Results indicated that some students enjoyed the freedom of choosing their own quests to complete while others felt lost in the new environment. It is important to game and instructional designers to scaffold the transition from traditional classroom to a game-based classroom. Copyright © 2015, IGI Global.	Adolescents; Game-based Learning; Mathematics; Motivation; Role-playing	62	78	16	Scopus			X	?	O	O	O		
Touret C.; Jafer S.	ChallengeIt building the 21st century classroom economically	2015	What if the boring classroom experience can become an immersive, effective and engaging game for both the student and instructor? What if a student could be motivated to accomplish more than just the learning requirements of a class? To make these things real, we propose ChallengeIt: a mobile application that allows students to compete with one another on challenges in their classrooms in a fun and interactive manner. The classroom can now be supplemented with a targeted 'game', where students can earn points by completing challenges, and having their instructors review those answers and award points. And students are free to use any medium or combination of media with which they prefer to respond to these challenges (text, PDF, photos, videos, etc.). This will make them able to always participate in the class (both at school and at home) in a way that makes them most comfortable. If the instructor so chooses, real-world problems could also be introduced into our solution, thereby allowing student efforts to be channeled into real-world solutions. In this paper we will introduce our ChallengeIt interactive game and cover the design and development details from a software engineering aspect. © 2015 IEEE.	engaged classroom; interactive learning; Serious game				Scopus			X	?	O	O			
Whyatt C.; Merriman N.A.; Young W.R.; Newell F.N.; Craig C.	A Wii Bit of Fun: A Novel Platform to Deliver Effective Balance Training to Older Adults	2015	Background: Falls and fall-related injuries are symptomatic of an aging population. This study aimed to design, develop, and deliver a novel method of balance training, using an interactive game-based system to promote engagement, with the inclusion of older adults at both high and low risk of experiencing a fall. Study Design: Eighty-two older adults (65 years of age and older) were recruited from sheltered accommodation and local activity groups. Forty volunteers were randomly selected and received 5 weeks of balance game training (5 males, 35 females; mean, 77.18 ± 6.59 years), whereas the remaining control participants recorded levels of physical activity (20 males, 22 females; mean, 76.62 ± 7.28 years). The effect of balance game training was measured on levels of functional balance and balance confidence in individuals with and without quantifiable balance impairments. Results: Balance game training had a significant effect on levels of functional balance and balance confidence (P < 0.05). This was further demonstrated in participants who were deemed at high risk of falls. The overall pattern of results suggests the training program is effective and suitable for individuals at all levels of ability and may therefore play a role in reducing the risk of falls. Conclusions: Commercial hardware can be modified to deliver engaging methods of effective balance assessment and training for the older population. © Copyright 2015, Mary Ann Liebert, Inc.		423	433	10	Scopus			X	O	O	O	O		
Wittland J.; Brauner P.; Ziefle M.	Serious games for cognitive training in ambient assisted living environments – a technology acceptance perspective	2015	Two technology trends address the rising costs of healthcare systems in aging societies: Serious Games for Healthcare and Ambient Assisted Living Environments. Surprisingly, these concepts are rarely combined and the users’ perception and use of Serious Games in Ambient Assisted Living environments is insufficiently understood. We present the evaluation of a serious game for stimulating cognitive abilities for elderly with regard to technology acceptance (based on the UTAUT2 model), performance and preference for an interaction device (tablet, table, wall). The results suggest that acceptance of serious games is independent of gender, technical expertise, gaming habits, and only weakly influenced by age. Determinants for acceptance are perceived fun and the feeling that the users can make playing the game a habit. Performance within the game is explained by age and previous gaming experience. All investigated interaction devices were rated as useful and easy to learn, although the wall-sized display had lower approval levels. The article concludes with guidelines for successfully introducing serious games for healthcare to residents in ambient assisted living environments. © IFIP International Federation for Information Processing 2015.	Ambient assisted living; Design for elderly; Serious games for healthcare; Technology acceptance; Ubiquitous computing	453	471	18	Scopus			X	?	O	O	O		
Zagal J.P.; Altizer R.	Placeholder content in game development: Benefits and challenges	2015	Literature on game design and development recommends using placeholder content and assets as a technique for, amongst other things, working around production bottlenecks (e.g. needs music to work but music is not ready) and streamlining development (e.g. focus on the "fun", without getting distracted by the art). However, this commonly accepted practice can cause problems that are rarely discussed or presented. We unpack this practice by discussing some of its issues. As a practice that is central to game development, it is important to better understand the interactions of social, technical, and cultural factors that result in the creation of sophisticated software artifacts, i.e. computer games. We discuss some of these issues and sketch out a research agenda for their further exploration. © Copyright 2015 by the Association for Computing Machinery, Inc. (ACM).	Dummy Text; Game Design; Game Development; Lorem Ipsum; Placeholder; Placeholder Assets; Temporary Assets; Video Games; White Box	745	750	5	Scopus			X	O	O	O	O		
Zhang J.; Atay M.; Smith E.; Caldwell E.R.; Jones E.J.	Using a game-like module to reinforce student understanding of recursion	2015	Recursion is one of the most powerful problem-solving techniques in computer science, but many students seem to struggle with the concept of recursion. In addition, the instructors find it hard to teach this concept using traditional teaching method. This paper presents a game module titled 'Recursive Runner' that aims to reinforce student understanding of recursion in a game. Four undergraduate students developed the game with GameMaker Studio in three months. The game was designed for short gameplay time and it does not require any prior experience in gaming. The objective of the game is to provide the students with a fun environment to visualize and follow the flow of execution of recursive functions. This paper presents the game design and implementation in detail and shares our experiences in using this module in the CSC1311 Computer Programming II and CSC2331 Data Structures classes at Winston-Salem State University (WSSU). A pretest, a posttest and a survey were developed and used in the evaluation process. In addition, a lab assignment was designed to use with the game to evaluate student understanding of the concept. Initial assessment outcomes show promising results and the feedback is positive according to the survey and interview. © 2014 IEEE.	Computer Programming; Data Structures; Game-Based Learning; Motivation; Recursion				Scopus			X	?	O	O			
Bowman N.D.; Kowert R.; Cohen E.	When the ball stops, the fun stops too: The impact of social inclusion on video game enjoyment	2015	Abstract Video games have long been understood as an entertaining and popular medium, and recent work has suggested that at least part of their appeal rests in their ability to foster feelings of sociability and belonging with others. From this, we expected that following an episode of social ostracism, playing video games with other people would be an enjoyable experience due the game's ability to restore one's social needs. However, in a 2 (social inclusion vs. social ostracism) × 2 (choosing to play alone vs. co-playing) quasi-experimental design, individuals who were socially ostracized in a ball tossing game reported no deficit in their subsequent enjoyment of the video game. Ostracized players reported above-average enjoyment, while individuals who were socially included pre-gameplay reported significantly lower enjoyment when playing alone compare to all other conditions. These effects held, controlling for individual sex, trait need for belonging, video game self-efficacy, and individual performance at the game. These results ran counter to predictions regarding the socially restorative power of video games following a social ostracism episode, and offer insight into how social scenarios might foster expectations of entertainment media products. © 2015 Elsevier Ltd.	Co-playing; Enjoyment; Need to belong; Ostracism; Video games	131	139	8	Scopus			X1	O	O	O	O	O	O
Han T.; Xiao X.; Shi L.; Canny J.; Wang J.	Balancing accuracy and fun: Designing camera based mobile games for implicit heart rate monitoring	2015	Heart rate monitoring is widely used in clinical care, fitness training, and stress management. However, tracking individuals' heart rates faces two major challenges, namely equipment availability and user motivation. In this paper, we present a novel technique, LivePulse Games (LPG), to measure users' heart rates in real time by having them play games on unmodified mobile phones. With LPG, the heart rate is calculated by detecting changes in transparency of users' fingertips via the built-in camera of a mobile device. More importantly, LPG integrate users' camera lens covering actions as an essential control mechanism in game play, and detect heart rates implicitly from intermittent lens covering actions. We explore the design space and tradeoffs of LPG through three rounds of iterative design. In a 12-subject user study, we found that LPG are fun to play and can measure heart rates accurately. We also report the insights for balancing measurement speed, accuracy, and entertainment value in LPG. © Copyright 2015 ACM.	ECG; Game design; Heart rate; Mobile phone; Multi-modal interface; Quantified self; Serious game	847	856	9	Scopus			X1	O	O	O	O	O	O
Phan M.H.; He J.; Chaparro B.S.	Can you judge a video game by its cover?: An exploration of subjective impressions and viewing patterns	2015	Studies have shown that first impressions of websites can lead to lasting opinions regarding usability and trustworthiness. However, little research has been conducted concerning first impressions of video games. In this study, 20 college-age students were asked to view and rate images of 48 game box covers after a brief exposure while their eye movement patterns were recorded. Results revealed that participants can reliably form different impressions (e.g., fun vs. boring) about certain video games based on a brief viewing of the game box cover. Analysis of eye tracking data revealed that participants viewed the front image, side title strip, and front game title the most. Relationships among the different subjective attributes (e.g., design quality, entertainment value) are reported. © Springer International Publishing Switzerland 2015.	Box cover; Eye movement pattern; Eye tracking; First impressions; Game quality; Subjective ratings; Video games	690	696	6	Scopus			X1	O	O	O	O		
Steinberger F,Schroeter R,Lindner V,Fitz-Walter Z,Hall J,Johnson D	Zombies on the road: a holistic design approach to balancing gamification and safe driving	2015	This paper explores novel driving experiences that make use of gamification and augmented reality in the car. We discuss our design considerations, which are grounded in road safety psychology and video game design theory. We aim to address the tension between safe driving practices and player engagement. Specifically, we propose a holistic, iterative approach inspired by game design cognition and share our insights generated through the application of this process. We present preliminary game concepts that blend digital components with physical elements from the driving environment. We further highlight how this design process helped us to iteratively evolve these concepts towards being safer while maintaining fun. These insights and game design cognition itself will be useful to the AutomotiveUI community investigating similar novel driving experiences.	augmented reality, design approach, driving games, gamification, road safety, serious games	320	327	8	ACMDL		X							
A. Shapi'i; N. N. Bahari; H. Arshad; N. A. M. Zin; Z. R. Mahayuddin	Rehabilitation exercise game model for post-stroke using Microsoft Kinect camera	2015	The purpose of rehabilitation is to improve the movement of stroke patients so that they can independently perform daily tasks on their own. Conventional therapy is a tedious exercise which usually reduces the motivation of the patient to do the exercises. Video game is a way that can motivate and help patients recover their motor skills, and also act as a deterrent pain. Video games have been used in physiotherapy, occupational therapy, and psychotherapy. In order to increase mental satisfaction and physical vitality in rehabilitation therapy, some therapists have tried to use the off-the-shelf digital game devices in rehabilitation and have found effective treatment outcomes in addition to enhancing patients' treatment motivation. Although many studies have been done in this field, there is still lacking the existing recovery game, because too many different demands must be met for each type of therapy. There is one disadvantage at the beginning of the game because patients have difficulty understanding how to use it. The current recovery games are less fun and participative for the user, while the popular games have fewer components to use in rehabilitation training. Furthermore, post-stroke patients find it difficult to get a friend to play or spend time with them every day, which will make them feel isolated. Therefore, rehabilitation exercise games that support multi-player will provide a higher motivation than the single-player. Since most stroke patients suffer from cognitive impairment, cognitive challenge levels are also the key factors in the design of the game so that it does not become an obstacle for the recovery process. Therefore, this study develops a prototype of a rehabilitation exercise game that contains aspects of the social context, the type of movement and cognitive challenges. It also provides usability in game design, according to a post-stroke stage so that they can perform recovery activities based on their ability. In addition, this study highlights technology and rehabilitation exercise games in Malaysia.	rehabilitation exercise games;Kinect;post-stroke	1	6	5	IEEE		X							
C. Touret; S. Jafer	ChallengeIt building the 21st century classroom economically	2015	What if the boring classroom experience can become an immersive, effective and engaging game for both the student and instructor? What if a student could be motivated to accomplish more than just the learning requirements of a class? To make these things real, we propose ChallengeIt: a mobile application that allows students to compete with one another on challenges in their classrooms in a fun and interactive manner. The classroom can now be supplemented with a targeted â€œgameâ€, where students can earn points by completing challenges, and having their instructors review those answers and award points. And students are free to use any medium or combination of media with which they prefer to respond to these challenges (text, PDF, photos, videos, etc.). This will make them able to always participate in the class (both at school and at home) in a way that makes them most comfortable. If the instructor so chooses, real-world problems could also be introduced into our solution, thereby allowing student efforts to be channeled into real-world solutions. In this paper we will introduce our ChallengeIt interactive game and cover the design and development details from a software engineering aspect.	Serious game;interactive learning;engaged classroom	1	8	7	IEEE		X							
C. Tseloudi; T. Tsiatsos	Panic in the gallery: An online educational game for art history: Design and evaluation of a matching game	2015	With the evolution of technology, social media and mobile devices, digital games have become a frequent form of entertainment for many people. As games can provide a fun environment, where students can actively learn content through actions and decisions, there are high hopes that game-based learning can be used both in and outside the classroom and yield positive learning outcomes. The aim of this study is to evaluate the effectiveness and enjoyment of a game created for art history learning, on adults of various ages, with a different art history background and game experience and to hopefully help educational game creators get closer to a balance between fun and learning.	game-based learning (GBL);e-learning;educational games;art history	1	6	5	IEEE		X							
L. Eaachak; A. Belhabibe; M. Bouhorma	Towards a new concept of serious games generator	2015	With the big success that serious games have known in education field a huge need has been created to develop such video games to satisfy the demand that does not cease to increase, but the time, the cost, and the interaction of several actors that it takes during the creation process can influence on the envisaged result and create several unexpected problems, to avoid such problems we propose in this article a new serious game generator that adapts the process of video game development by replacing game design and game development phases by both programmed game design and gameplays, this new concept will allow the game creator to focus more in pedagogical aspect and pedagogical objectives that the players must acquire during a video game sequence, instead of wasting much time in game design and game development. In addition, the proposed game generator will be able to generate several web based video games that are both educational and fun.	Serious games;AHP;Game Engines;Game Generator;Gameplay;Game Design;e-training	341	346	5	IEEE		X							
M. Iqbal; C. Machbub; A. S. Prihatmanto	Educational game design using the 7 steps for designing serious games method (Case study: Mathematical subject on comparison and scale material for 7th grade junior high school)	2015	National educational system was riddled with many problems both in terms of internal and external to date. Internal issues referring to the constraints of some national education standards among which the standard process, teachers and education personnel standards, and competency standards. The standard process has a problem that improvement mindset has not done well in the learning process of the learning method centered on the teacher (teacher centered) into a student-centered teaching methods (student oriented)[17]. Standard teachers and education personnel have a problem of low professionalism of teachers in Indonesia proved in 2010 the number of teachers who meet the qualification standards nationally only 43%[2]-Standardized competence of graduates have problems one of which is evidenced by the results of the 2012 survey data by the Program for International Student Assessment (PISA), which mentions the mathematical ability of students in Indonesia was ranked 64 out of 65 countries[1]. In addition to internal problems are also external problems in the organization of education as the result of research that says that as many as 600 students in grade eight and nine on average spend 9 hours per week playing games keseluruhan. Playing games have proven to deliver negative correlation with academic achievement of students, if played in a long period of time[5]. In this digital era, it is appropriate that educational games have a more comprehensive capabilities for responding the internal and external challenges of the world of education. Therefore the authors undertake the design and construction of educational games vidyanusa mission 19th to study the materials of scale and comparison using The 7 Steps for Designing Serious Games method to resolve some of the problems of national educational standards. This method begins with the analysis specifications pedagogical objectives to be achieved, the selection of model type game that will be used, the adjustment of pedagogical scenario with games scenario are fun, the search of software components that can be used, description detail of scenarios, the quality control of pedagogical and determination of specifications for subcontractors and game design tools[10].	vidyanusa;educational game;ratio and scale;the 7 steps for designing serious games;thematic learning;math;junior high schools;usability games	1	9	8	IEEE		X							
Adam C.; Senner V.	Which Motives are Predictors for Long-term Use of Exergames?	2016	Computer games, which combine exercise and playing games, are called exertion games or exergames (EG). Various studies have dealt with the role of EG with respect to improving physical activity. Others have suggested design guidelines and player types and several have investigated motivational aspects. Very little, however, is still known about the sustainability of motives-even though a long-term use of EG would be essential to achieve goals such as health benefits or prevention of overweight. To get a better understanding of this aspect, our paper outlines and discusses the main motives for playing EG and tries to relate them to long-term motivation. Data on long-term motivation has been collected in a retrospective analysis using an online questionnaire that has been returned by n=54 active or formerly active EG players. Motives for playing and stopping playing were queried. Motives investigated were fun, doing sports, health, losing weight, competition, and affiliation. Based on current literature discussion, these six motives were grouped into those presumed to provide long-term motivation and those which are commonly perceived to decrease it. The scoring on these different motives was then compared between two subject groups: The long-term motivated players, who have been playing for more than six months (and are still continuously doing it) and those who have stopped playing (not long-term motivated players). There were no significant differences between the two player groups with respect to the scorings of the analyzed motives. Concerning the impact of unfulfilled perceptions that make players quit playing EG results were significant. Players strongly motivated by the motives doing sports, health and losing weight indicated that they quitted playing EG due to the fact that their expectations concerning physical activity, having health benefits and weight loss were not fulfilled. This survey could not support the idea, that certain motives, generally associated with playing EG, are predictors for long-term use. This finding however might be due to the relatively small sample size as our data shows the tendency that motives fun and affiliation increase probability for long-term motivation, whereas motives such as doing sports, losing weight, health, and competition do not seem to be correlated with it. As an experimental approach to investigate long-term effects using standardized protocols would certainly contradict the nature of playing games, it seems necessary to follow-on with our method to collect additional data for more statistical power. © 2016 The Authors. Published by Elsevier Ltd.	exergames; fun; long-term; motivation; sports	806	811	5	Scopus			O	O	O	O	O	O	O
D. Assante; C. Fornario; A. E. Sayed; S. A. Salem	Edutronics: Gamification for introducing kids to electronics	2016	In this paper we present the Edutronics project, a new game-based equipment to introduce kids to Electronics by means of a fun learning environment based on learning by doing. The equipment has been developed as a graduation project by a group of Egyptian students, enrolled in a double degree program in ICT Engineering, organized by Uninettuno University (Italy) and Helwan University (Egypt). The equipment is composed by a hardware platform and a controlling software. The hardware platform consists of a didactic kit designed to allow to build electric circuits in a amusing and safe way. The controlling software has been developed as a mobile application and provides the students with exercises to be solved. Today's ubiquity of social networks is enabled through a Facebook profile in order to publish one's results. An Arduino board with Bluetooth shield connects the hardware to the software and is able to check the correctness of each exercise solutions. Such an equipment is targeted to young students of primary to high schools in order to introduce them to Electronics in a safe way and with an affordable cost for schools.	Electronics;gamification;Arduino;STEM education	905	908	3	IEEE			?	?	?	?	X		
F. A. Zuberi; S. Khatri; K. N. Junejo	Dynamic gesture recognition using machine learning techniques and factors affecting its accuracy	2016	Kinect, a motion sensing input device for gaming consoles has been successfully utilized for video games, and rehabilitation of paralyzed patients. We use this device to make learning a fun activity for children. Children learn to draw shapes by moving their hands in front of the Kinect device. We automatically recognize and classify their dynamic hand gestures into predefined shapes, namely; rectangles, triangles, and circles. To decrease over fitting and the cost of generating sample shapes a novel feature engineering approach is also proposed that increases the performance by more than 11%. We used three different machine learning algorithms and successfully classified the shapes with an accuracy of more than 97%.		310	313	3	IEEE			?	?	?	?	X		
I. M. R. Suitsu; R. M. Souza; I. A. Souza-Concilio; B. A. Pacheco	Castelo de areia: Game to exercise creativity through storytelling	2016	This paper aims to discuss the game Sandcastle (Castelo de Areia), a virtual story generator in which children can use their preferred characters, like princesses or super heroes, add images and sounds that thay made by theirselves or get from a library, and put together in a book that can be saved and shared. In children's recreational therapies such as game therapy, one of the ways that professionals uses to understand the important issues of child development and aspects of their relationship with friends and familiars is through fantasy. In this sense, children's books and fairy and folk tales are important tools. On the other hand, the games bring the playful aspect in the educational universe, helping educators to better understand certain aspects of child development. The proposal of Sand Castle game is, in addition of being a fun tool, be an useful instrument to aid in therapeutic and educational processes. Designed for tablets, it can be used by children from 4 years.	Castelo de areia;storytelling;child education;play therapy;digital game	1	8	7	IEEE			?	?	?	?	?	?	X
P. Buddharaju; Y. Lokanathan	Mobile Exergaming: Exergames on the Go	2016	Exergames combine exercising with game play by requiring the users to perform some kind of physical activity (and exercise) in order to score points in the game. In this paper, we present mobile exergames that are affordable, fun, ubiquitous, and most importantly portable allowing the players to carry exergames with them wherever they go. Our mobile exergames need two pieces of portable equipment - a smartphone (with an in-built camera, accelerometer and gyroscope) and an ExerPad (custom designed Exercising Pad consisting of various shapes and colors). While playing the proposed exergame on smartphone, the user is required to physically move on ExerPad in order to score points in the game. The experimental results show that the proposed mobile exergames help users to move and burn calories while having fun at the same time.	Exergames;mobile games;physical activity;exerpad	25	26	1	IEEE			?	?	?	?	X		
V. Siddoo; D. Binla; K. Jaineawnaekuson; O. Yommana	A study of early childhood e-learning games for Thai children	2016	E-learning games have become a potentially beneficial choice in educational teaching. The learner could use this kind of technology to clearly understand an academic context, particularly for children who focus on activities more than lessons. Learning through games helps children gain knowledge and have fun. This research aims to study the appropriate characteristics of e-learning games for early childhood. Lecturers and students of an early childhood education major from a faculty of education were interviewed. The data collected were analyzed using qualitative content analysis. The findings provided a picture of appropriate e-learning games for early childhood. Moreover, we presented the design and developed an alternative e-learning game prototype. This research was based on a case study. In the future, we suggest gathering information from more early childhood education experts in order to extend the prototype with additional metaphors.	early childhood;e-learning games;preschool;responsive design;web application	29	32	3	IEEE			?	?	?	?	X		
Bronner S.; Pinsker R.; Naik R.; Noah J.A.	Physiological and psychophysiological responses to an exer-game training protocol	2016	Objectives: Exer-games and virtual reality offer alternative opportunities to provide neuro-rehabilitation and exercise that are fun. Our goal was to determine how effective they are in achieving motor learning goals and fitness benefits as players gain experience. Design: We employed a repeated measures design to determine changes in physical exertion and engagement with training. Methods: Fourteen healthy adults trained on the XBOX Kinect video game Dance Central using a skill-based protocol to examine changes in energy expenditure (EE), heart rate (HR), METs, limb movement, game proficiency, and player engagement in initial, post-training, and transfer-testing of a full-body dance exer-game. Data were analyzed using repeated measures analysis of variance, p < 0.05. Results: Both EE, HR, and METs increased from initial (EE 4.89 ± 1.35, HR 103 ± 18, METs 4.25 ± 0.72) to post-training (EE 5.92 ± 1.25, HR 110 ± 15, METs 5.05 ± 0.75) and were greatest during transfer-testing (EE 6.34 ± 1.35, HR 115 ± 17, METs 5.42 ± 0.88, p ≤ 0.001). Proficiency, measured by game scores, also increased from initial to post-training and transfer-testing (≤ 0.002). Limb movement and player engagement remained unchanged. Conclusions: It is important to understand whether player physiological and psychophysiological responses change with continued game-play. Although Dance Central involves whole-body movement, physical exertion remained at moderate levels after training. As exer-game and virtual reality systems move from their initial novelty, research about how players react to continued involvement with a game can guide game developers to maintain a freshness through game progression that preserves the participant's attentional focus, minimizes attrition and maintains a prescribed level of energy exertion. © 2015 Sports Medicine Australia.	Dance; Energy expenditure; Engagement; Exercise; METs; Video games	267	271	4	Scopus			?	?	O	O	X		
Da Silva A.P.; Ianaguivara E.S.; Campos L.C.	serious game for help children with ADHD learning the basics math concepts	2016	The attention deficit hyperactivity disorder (ADHD) is the most common neuropsychiatric disorder among school-age children in the world. Children with ADHD have more difficulty on learning mathematics discipline. Studies show that the use of computational tools can provide greater opportunities for learning success for children with ADHD than the conventional method. However, the most of these tools have no care to the ADHD characteristics. Therefore, this paper describes the design and development of a computerized game with red-green axis colours to aid learning the basics math concepts to volunteers with ADHD. The gaming method used for the computational game proposed was the serious game, because this method is most used for teaching. But some studies point out the lack of component "fun" or entertainment in the development process of these games. Therefore was used the ICS gaming method which relating the "fun" component and characteristics of ADHD. The proposed game shows criteria recommended by APA (American Psychological Association) to retain the attention. In order to this, we used a graphic modeller of three-dimensional content for modelling, texturing, animating and developing the interaction of the characters and other objects in the scene. In the pilot test the developed software showed no logic errors or warnings in system debug and other game features showed expected results. The game also was evaluated by professionals on software development process which assessed the functional requirements. The developed game was validated by math teachers. They evaluated if the concept of math were presented clearly and objective. The tests also showed that the requirements set for the game were properly achieved, such as writing about the errors in the log. The computer games developed in this study provides quantitative records of the player performance and keeps the attention of ADHD volunteers in complete game, which can help learning the basics math concepts. © 2016, University of Minho. All rights reserved.	ADHD; Computerized game; Math; Serious game	312	319	7	Scopus			?	?	O	O	O	O	X
Hardy D.; Forest E.; McIntosh Z.; Gertz J.; Myers T.	Co-creation of a digital game to support language revitalisation	2016	Many Aboriginal languages are becoming extinct due to lack of fluent speakers. Computer games offer a way to help teach these languages in a fun and engaging way. However, computer games like all technology objects are based in the culture of their creators. In this paper we describe a project where we codesigned a language application for mobile phone with the Gugu Badhun, an Aboriginal community from north Queensland Australia. The participatory action research process allowed our Aboriginal partners to embed their own culture in the games, leading to a product that supported their goals and aspirations for language renewal. This collaboration has not only provided a way to sustain their language, but also added capacity to their community in ICT development. © Springer International Publishing AG 2016.	Cooperative design; Game based learning; Indigenous research methods; Participatory action research	181	184	3	Scopus			?	?	O	O	X		
Hardy D.; Forest E.; McIntosh Z.; Myers T.; Gertz J.	Moving beyond "Just tell me what to code": Inducting tertiary ICT students into research methods with aboriginal participants via games design	2016	Many Aboriginal languages are becoming extinct due to lack of fluent speakers. Computer games offer a way to help teach these languages in a fun and engaging way. However, computer games like all technology objects are based in the culture of their creators. In this paper we describe a project where we co-designed a language application for mobile phones with the Gugu Badhun, an Aboriginal community from north Queensland Australia. The participatory action research process allowed our Aboriginal partners to embed their own culture in the games, leading to a product that supported their goals and aspirations for language renewal. This collaboration has not only provided a way to sustain their language, but also added capacity to their community in ICT development. This paper contributes to HCI literature by delineating a respectful approach to collaborating with Aboriginal participants. Copyright © 2016 ACM.	Co-design; Indigenous knowledge; Language revitalisation	557	561	4	Scopus			?	?	O	O	X		
Kaevikj N.; Kostadinovska A.; Mihova M.; Trivodaliev K.; Stojkoska B.	Toby the explorer - An interactive educational game for primary school pupils	2016	Technology enhanced education has been recently established as a new approach for all stages of education in developing countries, especially in Macedonia. Although computer games are often given little attention we believe that within the vast amount of technologies and instruments used to achieve the needed improvements it is computer games that are playing the central role in delivering the desired effects, in particular to children and teenagers. In this paper we present the Toby the Explorer, an interactive educational game for primary school students. We show in depth the engineering behind the game, its design and structure. We also give an insight and evaluation of the importance of the game in enhancing the educational process. Our results show that the learning process is regarded as more easy and fun by the students that learned by playing, but also it increased their interest in learning other subjects not included explicitly in the game. © 2016 Croatian Society MIPRO.	Desktop games; e-Learning; Educational games; Game-based learning; Games for kids	1032	1036	4	Scopus			?	?	O	O	X		
Ketelhut D.J.; Nelson B.C.	Blending formal and informal learning environments: The case of SAVE science	2016	This study explored how children attending a national science and engineering fair with their families engaged with a serious game, SAVE Science, designed for assessing science learning in the classroom. The SAVE Science project, Situated Assessment using Virtual Environments of Scientific Content and Inquiry, investigates the use of virtual environment-based adventures for assessing science content and inquiry in middle grades. One of the typical characteristics that separates formal schooling from informal learning is the seriousness and structure applied to curricula and instruction. However, the boundaries between the two are blurring as schools incorporate play, albeit serious play, into classroom practice while social media is driving community-based knowledge building. As a result of this blurring, our team wondered how children would engage with a serious game designed for formal science assessment in an informal setting. In our booth at this weekend event, several iPads were set up with two SAVE Science game-based assessments for children to play with. Support personnel simply helped children initiate the games, but let them engage independently. Once completed, children were asked the question "how do you learn science with videogames?" During the event, 54 children ranging from 7-12 years of age played at least one the complete game, and then stayed to add thoughtful, anonymous responses to this prompt. Analysis showed that participant responses fell into five major categories. In order of prevalence, they are: 1. how videogames can help you learn science, 2. why videogames are engaging, 3. specific things that a videogame can teach, 4. what was learned in these specific games, and 5. how videogames can also teach about math and app design. Results demonstrated that these children, when faced with many fun choices in a science fair, found our serious assessment games as appropriate and engaging in an informal setting. © The Authors, 2016. All Rights Reserved.	Design; Engagement; Formal; Informal; Virtual Environment	314	318	4	Scopus			?	?	O	O	X		
Orssaud C.	What is the role of video games in the treatment of amblyopia?; [Quelle est la place des jeux vidéo dans la prise en charge de l'amblyopie ?]	2016	Treatment of amblyopia as currently practiced is sometimes “resented” by the parents or the children. Furthermore, this treatment requires a mandatory supervision that can make it difficult to apply. This is why compliance is often poor resulting in treatment failures. A new design of the mechanisms of amblyopia has to consider new treatments, achievable using video games on portable media (tablet or smartphone). Using few minutes a day with these fun activities and generally very popular these young patients can afford to hope for a better grip of treatment. These treatments are not recommended by the Learned Societies in France but are envisaged in some countries and not addressed in the medical press. What to think? © 2016 Elsevier Masson SAS	Adult; Amblyopia; Binocular; Delete; Video games	128	132	4	Scopus			?	?	O	O	X		
Read J.C.	How fun can a serious game be?	2016	This paper will explore how fun can be and might be designed into serious games for children. Three projects are described and then the tensions around designing for fun and education are unpicked with consideration of the roles of children in the design of these serious games. © ICST Institute for Computer Sciences, Social Informatics and Telecommunications Engineering 2016.	Children; Fun; Learning; Serious games	9	11	2	Scopus			?	?	O	O	X		
